selling_date,customer_id,sku_name,sku_quantity,total_revenue
16-08-2023,Customer 094,Chilli Small Spicy (Akash Chilli ),3,195
16-08-2023,Customer 094,"Capsicum Green (Medium, misshapes, irregular size)",3,84
16-08-2023,Customer 094,"Capsicum Red (Medium, misshapes, irregular size)",0.5,55
16-08-2023,Customer 094,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,55
16-08-2023,Customer 094,Carrot Local,4,184
16-08-2023,Customer 094,curry leaves,0.3,16.5
16-08-2023,Customer 094,Coriander Hybrid,1.5,55.5
16-08-2023,Customer 094,Mint Leaves (Pudhina ),1.25,42.5
16-08-2023,Customer 094,Palak,1.5,46.5
16-08-2023,Customer 094,Methi (Fenugreek ),1,55
16-08-2023,Customer 181,Carrot Local - Medium,2,56
16-08-2023,Customer 181,"Zucchini Yellow - Big, misshape",1,49
16-08-2023,Customer 181,"Lemon (medium, spots, 25-40 pcs/kg)",1,75
16-08-2023,Customer 181,Coriander Hybrid,0.5,19.5
16-08-2023,Customer 181,Broccoli,1,80
16-08-2023,Customer 181,Mushroom Button,3,117
16-08-2023,Customer 181,Spring Onion,0.5,25
16-08-2023,Customer 181,Cucumber English,0.5,19.5
16-08-2023,Customer 181,Lettuce Romaine,0.5,40
16-08-2023,Customer 181,Cherry Tomato,0.5,41
16-08-2023,Customer 181,Lemongrass,0.25,20
16-08-2023,Customer 181,Parsley,1,81
16-08-2023,Customer 181,Garlic Whole,2,740
16-08-2023,Customer 181,Basil Leaves,2,158
16-08-2023,Customer 181,Galangal (Thai Ginger),0.25,63.75
16-08-2023,Customer 181,Chilli Small Spicy (Akash Chilli ),0.5,34
16-08-2023,Customer 181,Beans Haricot,1,45
16-08-2023,Customer 053,Broccoli,1.1,88
16-08-2023,Customer 053,"Capsicum Red (Medium, misshapes, irregular size)",2,224
16-08-2023,Customer 053,"Capsicum Yellow (Medium, misshapes, irregular size)",2,224
16-08-2023,Customer 053,"Zucchini Green - Big, misshape",0.6,28.2
16-08-2023,Customer 053,"Zucchini Yellow - Big, misshape",0.5,24.5
16-08-2023,Customer 053,Lettuce Green,1,75
16-08-2023,Customer 053,Rocket Lettuce - Arugula,1,95
16-08-2023,Customer 053,Lettuce Red,1,78
16-08-2023,Customer 053,Lettuce Iceberg,0.5,31
16-08-2023,Customer 053,Beetroot,6,234
16-08-2023,Customer 053,Capsicum Green - Big,2,102
16-08-2023,Customer 053,Coriander Hybrid,3.2,124.8
16-08-2023,Customer 053,Cucumber English,2,78
16-08-2023,Customer 053,Cucumber Indian - Medium,7,175
16-08-2023,Customer 053,Ginger,1,115
16-08-2023,Customer 053,Garlic Peeled,2,1090
16-08-2023,Customer 053,Chilli Long Green,1,56
16-08-2023,Customer 053,Lemon Yellow,2,204
16-08-2023,Customer 053,Ridge Gourd,7,280
16-08-2023,Customer 053,Mint Leaves (Pudhina ),1.1,40.7
16-08-2023,Customer 053,Onion,40,1140
16-08-2023,Customer 053,Banana Raw,6,324
16-08-2023,Customer 053,Spring Onion,2.3,115
16-08-2023,Customer 053,Tomato Hybrid,20,800
16-08-2023,Customer 008,"Capsicum Red (Medium, misshapes, irregular size)",1.5,150
16-08-2023,Customer 008,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",6,138
16-08-2023,Customer 008,Onion - Medium,10,210
16-08-2023,Customer 008,"Capsicum Yellow (Medium, misshapes, irregular size)",1.5,150
16-08-2023,Customer 008,"Zucchini Green - Big, misshape",1,65
16-08-2023,Customer 008,"Potato - (Medium, 17-20 pcs/kg)",5,115
16-08-2023,Customer 053,Lemon Yellow,6,612
16-08-2023,Customer 053,Lemon Green ( Lime ),4,408
16-08-2023,Customer 053,Mint Leaves (Pudhina ),3,111
16-08-2023,Customer 053,curry leaves,0.2,11
16-08-2023,Customer 050,Baby Corn Peeled - Packet,0.5,54
16-08-2023,Customer 050,Basil Leaves,5,500
16-08-2023,Customer 050,Broccoli,6,468
16-08-2023,Customer 050,Capsicum Green - Big,1,46
16-08-2023,Customer 050,Capsicum Yellow - Big,1,162
16-08-2023,Customer 050,Capsicum Red - Big,1,162
16-08-2023,Customer 050,Carrot Local,3,129
16-08-2023,Customer 050,Celery,0.5,35
16-08-2023,Customer 050,Chilli Small Spicy (Akash Chilli ),0.5,38
16-08-2023,Customer 050,Coriander Hybrid,0.5,16
16-08-2023,Customer 050,Dill leaves,0.5,24.5
16-08-2023,Customer 050,Cucumber English,0.5,19
16-08-2023,Customer 050,Garlic Peeled,2,1050
16-08-2023,Customer 050,Garlic Whole,1,345
16-08-2023,Customer 050,Leeks,0.5,40
16-08-2023,Customer 050,Lemon Yellow,3,315
16-08-2023,Customer 050,Lettuce Green,0.5,35.5
16-08-2023,Customer 050,Lettuce Red,0.5,41.5
16-08-2023,Customer 050,Rocket Lettuce - Arugula,0.5,48
16-08-2023,Customer 050,Lettuce Iceberg,2.5,180
16-08-2023,Customer 050,Lettuce Romaine,0.5,41
16-08-2023,Customer 050,Mushroom Button,30,1170
16-08-2023,Customer 050,Onion,10,230
16-08-2023,Customer 050,Parsley,0.5,42.5
16-08-2023,Customer 050,Thyme,0.3,90
16-08-2023,Customer 050,Cherry Tomato,0.5,45
16-08-2023,Customer 050,Watermelon Kiran,2,206
16-08-2023,Customer 050,Zucchini Green - Medium,1,73
16-08-2023,Customer 050,Zucchini Yellow - Medium,1,72
16-08-2023,Customer 050,Apple,1,198
16-08-2023,Customer 050,Tomato Hybrid,11,418
16-08-2023,Customer 050,Potato,10,280
16-08-2023,Customer 050,Onion,5,115
16-08-2023,Customer 231,Onion,25,712.5
16-08-2023,Customer 231,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",10,290
16-08-2023,Customer 231,Chilli Small Spicy (Akash Chilli ),3,195
16-08-2023,Customer 231,Coconut,6,177
16-08-2023,Customer 231,"Cucumber Indian (Big, misshapes)",4,58
16-08-2023,Customer 231,Cucumber Indian - Medium,1,24
16-08-2023,Customer 231,Drumstick,2,266
16-08-2023,Customer 231,Radish White,2,62
16-08-2023,Customer 231,"Capsicum Green (Medium, misshapes, irregular size)",1,28
16-08-2023,Customer 231,Carrot Local - Medium,1,27.5
16-08-2023,Customer 231,"Lemon (medium, spots, 25-40 pcs/kg)",1,72
16-08-2023,Customer 231,"Ridge Gourd (Farm, Misshape)",4,100
16-08-2023,Customer 231,Cauliflower (600-900gm/pc),2,39.8
16-08-2023,Customer 231,Cabbage Local - Big,1,21.5
16-08-2023,Customer 231,Beans Haricot,1,42
16-08-2023,Customer 231,Cucumber Sambar/Mangalore,2.4,93.6
16-08-2023,Customer 231,Palak,1.5,46.5
16-08-2023,Customer 231,Coriander Hybrid,1.5,55.5
16-08-2023,Customer 231,Methi (Fenugreek ),0.5,27.5
16-08-2023,Customer 231,Mint Leaves (Pudhina ),0.75,25.5
16-08-2023,Customer 231,Amaranth Green,1,50
16-08-2023,Customer 248,Beans Haricot,20,700
16-08-2023,Customer 248,"Capsicum Green (Medium, misshapes, irregular size)",20,560
16-08-2023,Customer 248,Coriander Hybrid,5,175
16-08-2023,Customer 248,curry leaves,5,175
16-08-2023,Customer 248,Chilli Long Green,3,105
16-08-2023,Customer 088,Apple,0.5,99
16-08-2023,Customer 088,Basil Leaves,0.25,25
16-08-2023,Customer 088,Broccoli,1.5,117
16-08-2023,Customer 088,Cabbage Local - Medium,4,68
16-08-2023,Customer 088,Chinese Cabbage,1.3,85.8
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",3,75
16-08-2023,Customer 088,"Capsicum Red (Medium, misshapes, irregular size)",1,100
16-08-2023,Customer 088,"Capsicum Yellow (Medium, misshapes, irregular size)",1,100
16-08-2023,Customer 088,Carrot Local - Medium,2,72
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),2,38
16-08-2023,Customer 088,Celery,0.2,14
16-08-2023,Customer 088,Cherry Tomato,0.25,22.5
16-08-2023,Customer 088,Chilli Long Green,0.2,11.4
16-08-2023,Customer 088,Coriander Hybrid,0.5,16
16-08-2023,Customer 088,Cucumber English,4,152
16-08-2023,Customer 088,Garlic Peeled,1,525
16-08-2023,Customer 088,Beans Haricot,1,36
16-08-2023,Customer 088,Leeks,0.2,16
16-08-2023,Customer 088,"Lemon (medium, spots, 25-40 pcs/kg)",0.5,45
16-08-2023,Customer 088,Lettuce Iceberg,3,216
16-08-2023,Customer 088,Lettuce Red,1,83
16-08-2023,Customer 088,Mint Leaves (Pudhina ),0.25,7.25
16-08-2023,Customer 088,Mushroom Button,3,117
16-08-2023,Customer 088,Muskmelon,1.1,58.3
16-08-2023,Customer 088,Onion,3,69
16-08-2023,Customer 088,Palak,0.5,15.5
16-08-2023,Customer 088,Papaya Ripe,1,46
16-08-2023,Customer 088,Parsley,0.25,21.25
16-08-2023,Customer 088,Pineapple,1,66
16-08-2023,Customer 088,Bok Choy (Pok Choy ),0.5,31.5
16-08-2023,Customer 088,Pomegranate,0.6,97.8
16-08-2023,Customer 088,Potato,2,56
16-08-2023,Customer 088,Spring Onion,0.5,24.5
16-08-2023,Customer 088,American Sweet Corn,1,14
16-08-2023,Customer 088,Tomato Hybrid,5,190
16-08-2023,Customer 088,Watermelon Kiran,1,103
16-08-2023,Customer 088,"Zucchini Green - Big, misshape",1,65
16-08-2023,Customer 009,Palak,15,495
16-08-2023,Customer 009,Tomato Hybrid,15,600
16-08-2023,Customer 009,Onion,15,427.5
16-08-2023,Customer 009,Potato,10,305
16-08-2023,Customer 009,"Zucchini Green - Big, misshape",3,141
16-08-2023,Customer 009,"Zucchini Yellow - Big, misshape",5,245
16-08-2023,Customer 009,Carrot Local - Medium,10,280
16-08-2023,Customer 009,Beans Haricot,4,180
16-08-2023,Customer 009,Cucumber English,4,156
16-08-2023,Customer 009,Broccoli,4,320
16-08-2023,Customer 009,"Capsicum Green (Medium, misshapes, irregular size)",3,90
16-08-2023,Customer 009,"Capsicum Red (Medium, misshapes, irregular size)",2,224
16-08-2023,Customer 009,"Capsicum Yellow (Medium, misshapes, irregular size)",2,224
16-08-2023,Customer 009,Mushroom Button,15,585
16-08-2023,Customer 009,Chilli Long Green,1,56
16-08-2023,Customer 009,Baby Corn Peeled - Packet,3,312
16-08-2023,Customer 009,Cherry Tomato,2,164
16-08-2023,Customer 193,"Capsicum Green (Medium, misshapes, irregular size)",3,75
16-08-2023,Customer 193,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",30,690
16-08-2023,Customer 193,Carrot Local - Medium,5,180
16-08-2023,Customer 248,Cucumber Indian - Medium,20,700
16-08-2023,Customer 248,Cauliflower (600-900gm/pc),15,525
16-08-2023,Customer 252,Beans Haricot,1,45
16-08-2023,Customer 252,Cabbage Local - Big,1,22
16-08-2023,Customer 252,Baby Corn Peeled - Packet,1,104
16-08-2023,Customer 252,Carrot Local,4,196
16-08-2023,Customer 252,Onion - Medium,20,458
16-08-2023,Customer 252,Garlic Peeled,2,1090
16-08-2023,Customer 252,Cherry Tomato,0.5,41
16-08-2023,Customer 252,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 252,"Capsicum Red (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 252,Orange Imported,0.5,127.5
16-08-2023,Customer 252,Coriander Hybrid,1,39
16-08-2023,Customer 252,Lettuce Iceberg,5,310
16-08-2023,Customer 252,"Lemon (medium, spots, 25-40 pcs/kg)",1,75
16-08-2023,Customer 252,Brinjal Big - Bottle Black (Bharta Baingan / Eggplant ),1,40
16-08-2023,Customer 252,Parsley,0.5,40.5
16-08-2023,Customer 252,Cauliflower (600-900gm/pc),5,105
16-08-2023,Customer 252,Beetroot,5,195
16-08-2023,Customer 182,"Capsicum Red (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 182,"Capsicum Green (Medium, misshapes, irregular size)",1,30
16-08-2023,Customer 182,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",2,59
16-08-2023,Customer 182,Palak,2,66
16-08-2023,Customer 182,Onion - Medium,5,114.5
16-08-2023,Customer 182,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,56
16-08-2023,Customer 182,"Potato - (Medium, 17-20 pcs/kg)",5,125
16-08-2023,Customer 182,Carrot Local - Medium,2,56
16-08-2023,Customer 182,Tomato Hybrid,12,480
16-08-2023,Customer 182,Potato,5,152.5
16-08-2023,Customer 182,Zucchini Green - Medium,1,70
16-08-2023,Customer 182,Zucchini Yellow - Medium,0.5,39
16-08-2023,Customer 182,Broccoli,2,160
16-08-2023,Customer 182,Lettuce Green,0.5,37.5
16-08-2023,Customer 182,Lettuce Red,0.25,19.5
16-08-2023,Customer 182,Mushroom Button,5,195
16-08-2023,Customer 182,Lettuce Iceberg,1,62
16-08-2023,Customer 182,Cucumber English,0.5,19.5
16-08-2023,Customer 182,Lettuce Romaine,0.75,60
16-08-2023,Customer 182,Beans Haricot,1,45
16-08-2023,Customer 182,Cherry Tomato,0.25,20.5
16-08-2023,Customer 051,Broccoli,4,312
16-08-2023,Customer 051,Lettuce Green,0.5,35.5
16-08-2023,Customer 051,Lettuce Red,0.25,20.75
16-08-2023,Customer 051,Mushroom Button,15,585
16-08-2023,Customer 051,Leeks,0.5,40
16-08-2023,Customer 051,Cucumber English,0.5,19
16-08-2023,Customer 051,Lettuce Romaine,0.25,20.5
16-08-2023,Customer 051,Ginger,0.5,56.5
16-08-2023,Customer 051,Celery,0.5,35
16-08-2023,Customer 051,Beans Haricot,1,36
16-08-2023,Customer 051,Cherry Tomato,0.5,45
16-08-2023,Customer 051,Garlic Peeled,1,525
16-08-2023,Customer 193,"Lemon (medium, spots, 25-40 pcs/kg)",4,360
16-08-2023,Customer 193,Coriander Hybrid,3.5,112
16-08-2023,Customer 193,Beans Haricot,6,216
16-08-2023,Customer 193,Chilli Long Green,2.5,142.5
16-08-2023,Customer 193,Mint Leaves (Pudhina ),0.5,14.5
16-08-2023,Customer 193,Cucumber Indian - Medium,20,400
16-08-2023,Customer 193,Cabbage Local - Big,2.2,50.6
16-08-2023,Customer 088,Beetroot,1,32
16-08-2023,Customer 088,Broccoli,0.5,39
16-08-2023,Customer 088,Cabbage Local - Medium,3,51
16-08-2023,Customer 088,Chinese Cabbage,1,66
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",3,75
16-08-2023,Customer 088,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,Carrot Local - Medium,2,72
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),1,19
16-08-2023,Customer 088,Cherry Tomato,0.25,22.5
16-08-2023,Customer 088,Chilli Long Green,0.2,11.4
16-08-2023,Customer 088,Coriander Hybrid,0.5,16
16-08-2023,Customer 088,Drumstick,1,145
16-08-2023,Customer 120,Onion,10,280
16-08-2023,Customer 120,Potato,10,350
16-08-2023,Customer 120,Coriander Hybrid,3.1,155
16-08-2023,Customer 120,curry leaves,0.1,6.7
16-08-2023,Customer 120,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",4,88
16-08-2023,Customer 120,Mint Leaves (Pudhina ),0.25,8.75
16-08-2023,Customer 120,Spring Onion,0.5,35
16-08-2023,Customer 120,Cabbage Local - Big,2.3,46
16-08-2023,Customer 120,"Capsicum Green (Medium, misshapes, irregular size)",2,50
16-08-2023,Customer 120,Carrot Local - Medium,2,48
16-08-2023,Customer 120,Chilli Small Spicy (Akash Chilli ),1,85
16-08-2023,Customer 120,"Cucumber Indian (Big, misshapes)",4,40
16-08-2023,Customer 120,"Lemon (medium, spots, 25-40 pcs/kg)",2,152
16-08-2023,Customer 120,Orange Kinnow,1,58
16-08-2023,Customer 120,Watermelon Kiran,2,80
16-08-2023,Customer 088,Basil Leaves,0.25,25
16-08-2023,Customer 088,Bitter Gourd (Karela ),1,41
16-08-2023,Customer 088,Broccoli,1.5,117
16-08-2023,Customer 088,Cabbage Local - Medium,4,68
16-08-2023,Customer 088,Chinese Cabbage,1.5,99
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",4,100
16-08-2023,Customer 088,"Capsicum Red (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),2,38
16-08-2023,Customer 088,Cherry Tomato,0.5,45
16-08-2023,Customer 088,Coriander Hybrid,0.5,16
16-08-2023,Customer 088,Garlic Peeled,1,525
16-08-2023,Customer 088,"Lemon (medium, spots, 25-40 pcs/kg)",0.5,45
16-08-2023,Customer 088,Lettuce Iceberg,2,144
16-08-2023,Customer 088,Mushroom Button,2,78
16-08-2023,Customer 088,Broccoli,0.5,39
16-08-2023,Customer 088,Cabbage Local - Medium,2,34
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",2,50
16-08-2023,Customer 088,"Capsicum Red (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,Carrot Local - Medium,2,72
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),1,19
16-08-2023,Customer 088,Cherry Tomato,0.25,22.5
16-08-2023,Customer 088,Chilli Long Green,0.1,5.7
16-08-2023,Customer 088,Cucumber English,1,38
16-08-2023,Customer 088,Garlic Peeled,0.5,262.5
16-08-2023,Customer 088,"Lemon (medium, spots, 25-40 pcs/kg)",0.5,45
16-08-2023,Customer 088,Lettuce Iceberg,1,72
16-08-2023,Customer 088,Mushroom Button,2,78
16-08-2023,Customer 088,Onion,1,23
16-08-2023,Customer 088,Pineapple,1,66
16-08-2023,Customer 088,Bok Choy (Pok Choy ),0.5,31.5
16-08-2023,Customer 088,Potato,1,28
16-08-2023,Customer 088,Pumpkin Red (Kadoo) (Pc),1,85
16-08-2023,Customer 088,Spring Onion,0.5,24.5
16-08-2023,Customer 088,"Tomato Hybrid (Mix of medium, semi ripe 12-16 pcs/kg)",1,23
16-08-2023,Customer 052,Basil Leaves,1,79
16-08-2023,Customer 052,Chinese Cabbage,1,65
16-08-2023,Customer 052,Cabbage Local - Medium,7,112
16-08-2023,Customer 052,Cabbage Red,2,140
16-08-2023,Customer 052,"Capsicum Green (Medium, misshapes, irregular size)",5,146.25
16-08-2023,Customer 052,Carrot Local - Medium,6,168
16-08-2023,Customer 052,Cauliflower (600-900gm/pc),10,204.8
16-08-2023,Customer 052,Cucumber Indian - Medium,5,121.9
16-08-2023,Customer 052,Ginger,2,224.24
16-08-2023,Customer 052,Beans Haricot,2,87.76
16-08-2023,Customer 052,Lemon Yellow,19,1918.62
16-08-2023,Customer 052,Lettuce Iceberg,1,62
16-08-2023,Customer 052,Mint Leaves (Pudhina ),1,36.08
16-08-2023,Customer 052,Onion - Medium,40,916
16-08-2023,Customer 052,Spring Onion,1,48.76
16-08-2023,Customer 052,Parsley,0.25,20.25
16-08-2023,Customer 052,"Potato - (Medium, 17-20 pcs/kg)",10,250
16-08-2023,Customer 052,Beans Long - Cowpea (Karamani ),2,110
16-08-2023,Customer 052,Palak,4,128.72
16-08-2023,Customer 052,American Sweet Corn,10,140
16-08-2023,Customer 052,Thyme,0.1,31
16-08-2023,Customer 052,Zucchini Green - Medium,1,68.6
16-08-2023,Customer 052,"Zucchini Yellow - Big, misshape",1,49
16-08-2023,Customer 052,Pomegranate,1,160
16-08-2023,Customer 052,Chilli Small Spicy (Akash Chilli ),3,198.9
16-08-2023,Customer 088,Apple,0.5,99
16-08-2023,Customer 088,Broccoli,1.5,117
16-08-2023,Customer 088,Cabbage Local - Medium,4.1,69.7
16-08-2023,Customer 088,Chinese Cabbage,1.3,85.8
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",4,100
16-08-2023,Customer 088,"Capsicum Red (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,"Capsicum Yellow (Medium, misshapes, irregular size)",0.5,50
16-08-2023,Customer 088,Carrot Local - Medium,2,72
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),2,38
16-08-2023,Customer 088,Apple,0.5,99
16-08-2023,Customer 088,Basil Leaves,0.25,25
16-08-2023,Customer 088,Beetroot,1,32
16-08-2023,Customer 088,Broccoli,1,78
16-08-2023,Customer 088,Cabbage Local - Medium,5,85
16-08-2023,Customer 088,Chinese Cabbage,1,66
16-08-2023,Customer 088,"Capsicum Green (Medium, misshapes, irregular size)",5,125
16-08-2023,Customer 088,"Capsicum Red (Medium, misshapes, irregular size)",1,100
16-08-2023,Customer 088,"Capsicum Yellow (Medium, misshapes, irregular size)",1,100
16-08-2023,Customer 088,Carrot Local - Medium,3,108
16-08-2023,Customer 088,Cauliflower (600-900gm/pc),2,38
16-08-2023,Customer 088,Celery,0.2,14
16-08-2023,Customer 088,Cherry Tomato,0.5,45
16-08-2023,Customer 088,Chilli Long Green,0.2,11.4
16-08-2023,Customer 088,Coriander Hybrid,0.5,16
16-08-2023,Customer 088,Cucumber English,5,190
16-08-2023,Customer 088,Garlic Peeled,1,525
16-08-2023,Customer 088,Ginger,0.5,56.5
16-08-2023,Customer 088,Beans Haricot,1,36
16-08-2023,Customer 088,Leeks,0.2,16
16-08-2023,Customer 088,"Lemon (medium, spots, 25-40 pcs/kg)",0.5,45
16-08-2023,Customer 088,Lettuce Iceberg,3,216
16-08-2023,Customer 088,Lettuce Red,1,83
16-08-2023,Customer 088,Mint Leaves (Pudhina ),0.25,7.25
16-08-2023,Customer 088,Mushroom Button,3,117
16-08-2023,Customer 088,Onion,10,230
16-08-2023,Customer 088,Parsley,0.5,42.5
